Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
1111 033 044 055 066 077
2222 100 088 094 052 057
3333 034 009 077 078 020
4444 043 085 092 065 067
5555 078 087 077 088 099
6666 099 088 077 066 065
9999 078 089 067 068 098
8888 060 068 089 099 066
7777 013 056 087 098 056
1122 050 055 065 070 080
3344 088 087 086 085 084
5566 079 097 068 086 066
7788 067 079 087 066 100
9900 089 050 091 078 060
1113 100 088 094 052 057
2224 070 010 066 078 056
5557 078 087 077 088 099
4443 020 012 045 078 034
6665 020 012 045 078 034
8642 089 050 091 078 060
7531 000 098 089 078 020
5797 100 045 020 090 070
3452 070 010 066 078 056
2333 089 050 091 078 060
1313 100 088 094 052 057
4545 070 070 080 090 060
